2017-02-09,714
2017-02-10,689
2017-02-11,689
2017-02-13,689
2017-02-14,689
2017-02-15,689
2017-02-16,689
2017-02-17,689
2017-02-18,717
2017-02-20,717
2017-02-21,708
2017-02-22,708
2017-02-23,681
2017-02-24,686
2017-02-25,692
2017-02-27,689
2017-02-28,689
2017-03-01,689
2017-03-02,689
2017-03-03,731
2017-03-04,731
2017-03-06,758
2017-03-07,758
2017-03-08,758
2017-03-09,758
2017-03-11,814
2017-03-14,814
2017-03-15,814
2017-03-16,722
2017-03-17,722
2017-03-18,722
2017-03-20,722
2017-03-21,722
2017-03-22,750
2017-03-23,750
2017-03-24,744
2017-03-25,744
2017-03-27,744
2017-03-28,744
2017-03-29,731
2017-03-30,731
2017-03-31,731
2017-04-01,731
2017-04-03,725
2017-04-04,725
2017-04-05,758
2017-04-06,758
2017-04-07,753
2017-04-08,739
2017-04-10,739
2017-04-11,739
2017-04-12,739
2017-04-13,739
2017-04-14,739
2017-04-15,739
2017-04-17,739
2017-04-18,739
2017-04-19,736
2017-04-20,736
2017-04-21,733
2017-04-22,733
2017-04-24,733
2017-04-25,717
2017-04-26,717
2017-04-27,717
2017-04-28,717
2017-04-29,717
2017-05-01,694
2017-05-02,694
2017-05-03,694
2017-05-04,694
2017-05-05,697
2017-05-06,697
2017-05-08,697
2017-05-09,694
2017-05-10,693
2017-05-11,693
2017-05-12,693
2017-05-13,663
2017-05-15,667
2017-05-16,689
2017-05-17,675
2017-05-18,675
2017-05-19,614
2017-05-20,614
2017-05-22,619
2017-05-23,619
2017-05-24,619
2017-05-25,575
2017-05-27,572
2017-05-29,628
2017-05-30,628
2017-05-31,594
2017-06-01,583
2017-06-02,603
2017-06-03,603
2017-06-05,617
2017-06-06,686
2017-06-07,717
2017-06-08,744
2017-06-09,750
2017-06-10,758
2017-06-12,792
2017-06-13,839
2017-06-14,842
2017-06-15,811
2017-06-16,733
2017-06-17,708
2017-06-19,819
2017-06-20,778
2017-06-21,761
2017-06-22,717
2017-06-23,783
2017-06-24,744
2017-06-26,744
2017-06-27,744
2017-06-28,629
2017-06-29,661
2017-06-30,624
2017-07-01,624
2017-07-03,635
2017-07-04,679
2017-07-05,685
2017-07-06,709
2017-07-07,725
2017-07-08,723
2017-07-10,717
2017-07-11,739
2017-07-12,666
2017-07-13,669
2017-07-14,683
2017-07-15,703
2017-07-17,732
2017-07-18,732
2017-07-19,794
2017-07-20,794
2017-07-21,811
2017-07-22,797
2017-07-24,797
2017-07-25,801
2017-07-26,774
2017-07-27,797
2017-07-28,880
2017-07-29,889
2017-07-31,1050
2017-08-01,1398
2017-08-03,1375
2017-08-04,1674
2017-08-05,1811
2017-08-07,1815
2017-08-08,1877
2017-08-09,2129
2017-08-10,1842
2017-08-11,1848
2017-08-12,1848
2017-08-14,1822
2017-08-16,1657
2017-08-17,1670
2017-08-18,1673
2017-08-19,1782
2017-08-21,1976
2017-08-22,1926
2017-08-23,1953
2017-08-24,1851
2017-08-25,1687
2017-08-26,1547
2017-08-28,1595
2017-08-29,1595
2017-08-30,1600
2017-08-31,1830
2017-09-01,1830
2017-09-02,1673
2017-09-04,1615
2017-09-05,1632
2017-09-06,1625
2017-09-07,1625
2017-09-08,1650
2017-09-09,1650
2017-09-11,1628
2017-09-12,1608
2017-09-13,1608
2017-09-14,1482
2017-09-15,1437
2017-09-16,1253
2017-09-18,1274
2017-09-19,1167
2017-09-20,1202
2017-09-21,1350
2017-09-22,1350
2017-09-23,1152
2017-09-25,1152
2017-09-26,1143
2017-09-27,1192
2017-09-28,1192
2017-09-29,1192
2017-09-30,1192
2017-10-03,1291
2017-10-04,1334
2017-10-05,1443
2017-10-06,1443
2017-10-07,1443
2017-10-09,1443
2017-10-10,1755
2017-10-11,1755
2017-10-12,1745
2017-10-13,1745
2017-10-14,1745
2017-10-16,1745
2017-10-17,1652
2017-10-18,1682
2017-10-20,2050
2017-10-21,1682
2017-10-22,2093
2017-10-23,2093
2017-10-24,2093
2017-10-25,2093
2017-10-26,2093
2017-10-27,2093
2017-10-28,1962
2017-10-30,2003
2017-10-31,2012
2017-11-01,2012
2017-11-02,2012
2017-11-03,2012
2017-11-04,2397
2017-11-06,2397
2017-11-07,2397
2017-11-08,2397
2017-11-09,2470
2017-11-10,2470
2017-11-11,2470
2017-11-13,2345
2017-11-14,2338
2017-11-15,2338
2017-11-16,2338
2017-11-17,2275
2017-11-18,2292
2017-11-20,2258
2017-11-21,2381
2017-11-22,2371
2017-11-23,2613
2017-11-24,2690
2017-11-25,2758
2017-11-27,0
2017-11-28,2710
2017-11-29,2667
2017-11-30,2677
2017-12-01,0
2017-12-02,0
2017-12-04,0
2017-12-05,0
2017-12-06,0
2017-12-07,0
2017-12-08,0
2017-12-11,0
2017-12-12,0
2017-12-13,0
2017-12-14,0
2017-12-15,0
2017-12-16,0
2017-12-18,0
2017-12-19,0
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-23,0
2017-12-25,2645
2017-12-26,2645
2017-12-27,2645
2017-12-28,0
2017-12-29,0
2017-12-30,0
2018-01-01,2889
2018-01-02,2863
2018-01-03,2863
2018-01-04,2892
2018-01-05,2892
2018-01-06,2992
2018-01-08,3008
2018-01-09,2871
2018-01-10,2865
2018-01-11,2806
2018-01-12,2806
2018-01-13,2806
2018-01-15,2806
2018-01-16,2817
2018-01-17,2755
2018-01-18,2755
2018-01-19,2755
2018-01-20,2767
2018-01-22,2767
2018-01-23,2767
2018-01-24,2767
2018-01-25,2767
2018-01-27,2503
2018-01-29,2503
2018-01-30,2317
2018-01-31,1981
2018-02-01,1838
2018-02-02,1838
2018-02-03,1838
2018-02-05,1838
2018-02-06,1838
2018-02-07,1838
2018-02-08,1825
2018-02-09,1814
2018-02-10,1814
2018-02-12,1814
2018-02-13,1814
2018-02-14,1814
2018-02-15,1828
2018-02-16,1828
2018-02-17,1828
2018-02-19,1747
2018-02-20,1655
2018-02-21,1655
2018-02-22,1670
2018-02-23,1669
2018-02-24,1669
2018-02-26,1438
2018-02-27,1438
2018-02-28,1194
2018-03-01,1194
2018-03-03,1090
2018-03-05,1102
2018-03-06,1102
2018-03-07,1115
2018-03-08,1115
2018-03-09,1112
2018-03-10,1112
2018-03-12,1112
2018-03-13,1056
2018-03-14,1056
2018-03-15,1056
2018-03-16,1056
2018-03-17,1056
2018-03-19,1056
2018-03-20,1056
2018-03-21,1056
2018-03-22,944
2018-03-23,944
2018-03-24,944
2018-03-26,944
2018-03-27,819
2018-03-28,819
2018-03-29,819
2018-03-30,819
2018-03-31,819
2018-04-02,819
2018-04-03,819
2018-04-04,714
2018-04-05,714
2018-04-06,714
2018-04-07,714
2018-04-09,714
2018-04-10,706
2018-04-11,706
2018-04-12,706
2018-04-13,706
2018-04-14,706
2018-04-16,706
2018-04-17,706
2018-04-18,706
2018-04-19,706
2018-04-20,706
2018-04-21,0
2018-04-23,0
2018-04-25,706
2018-04-26,706
2018-04-27,744
2018-04-28,744
2018-04-30,744
2018-05-01,744
2018-05-02,744
2018-05-03,723
2018-05-04,723
2018-05-05,0
2018-05-07,698
2018-05-08,698
2018-05-09,698
2018-05-10,707
2018-05-11,707
2018-05-12,707
2018-05-14,707
2018-05-15,707
2018-05-16,700
2018-05-17,707
2018-05-18,707
2018-05-19,707
2018-05-21,707
2018-05-22,673
2018-05-23,673
2018-05-24,673
2018-05-25,723
2018-05-26,723
2018-05-28,723
2018-05-29,723
2018-05-30,723
2018-05-31,723
2018-06-01,879
2018-06-02,879
2018-06-04,913
2018-06-05,913
2018-06-06,913
2018-06-07,913
2018-06-08,913
2018-06-09,913
2018-06-11,913
2018-06-12,913
2018-06-13,913
2018-06-14,913
2018-06-15,913
2018-06-16,913
2018-06-18,879
2018-06-19,879
2018-06-20,879
2018-06-21,1172
2018-06-22,1172
2018-06-23,1172
2018-06-25,1163
2018-06-26,1163
2018-06-27,1163
2018-06-28,1163
2018-06-29,1163
2018-06-30,1163
2018-07-02,1163
2018-07-03,1163
2018-07-04,1163
2018-07-05,1163
2018-07-06,1163
2018-07-07,1163
2018-07-09,1163
2018-07-10,1163
2018-07-11,1163
2018-07-12,1116
2018-07-13,1116
2018-07-14,1116
2018-07-16,1116
2018-07-17,1116
2018-07-18,1116
2018-07-19,1116
2018-07-20,1116
2018-07-21,1116
2018-07-23,1116
2018-07-24,1116
2018-07-25,1116
2018-07-26,1116
2018-07-27,1116
2018-07-28,1116
2018-07-30,1116
2018-07-31,1163
2018-08-01,1163
2018-08-02,1163
2018-08-03,1163
2018-08-04,1163
2018-08-06,1163
2018-08-07,1179
2018-08-08,1100
2018-08-09,1100
2018-08-10,1121
2018-08-11,1121
2018-08-13,1121
2018-08-14,1121
2018-08-16,1121
2018-08-17,1121
2018-08-18,1121
2018-08-20,1104
2018-08-21,1104
2018-08-22,1104
2018-08-23,1104
2018-08-24,1104
2018-08-25,1104
2018-08-27,1104
2018-08-28,1104
2018-08-29,1104
2018-08-30,1104
2018-08-31,1004
2018-09-01,1004
2018-09-03,1004
2018-09-04,1004
2018-09-05,1004
2018-09-06,1079
2018-09-07,1079
2018-09-08,1079
2018-09-10,950
2018-09-11,950
2018-09-12,968
2018-09-13,968
2018-09-14,968
2018-09-15,968
2018-09-17,864
2018-09-18,864
2018-09-19,864
2018-09-20,864
2018-09-21,864
2018-09-22,864
2018-09-24,864
2018-09-25,864
2018-09-26,864
2018-09-27,939
2018-09-28,939
2018-09-29,939
2018-10-01,939
2018-10-03,0
2018-10-04,0
2018-10-05,975
2018-10-06,0
2018-10-08,975
2018-10-09,975
2018-10-10,972
2018-10-11,972
2018-10-12,972
2018-10-13,972
2018-10-15,1206
2018-10-16,1206
2018-10-17,1206
2018-10-18,1519
2018-10-19,1350
2018-10-20,1519
2018-10-22,1365
2018-10-23,1365
2018-10-24,1376
2018-10-25,1376
2018-10-26,1434
2018-10-27,1434
2018-10-29,1290
2018-10-30,1240
2018-10-31,1013
2018-11-01,0
2018-11-02,1013
2018-11-03,1013
2018-11-05,0
2018-11-06,1073
2018-11-07,0
2018-11-08,990
2018-11-09,1070
2018-11-10,0
2018-11-12,1170
2018-11-13,1170
2018-11-14,1170
2018-11-15,0
2018-11-16,1170
2018-11-17,1124
2018-11-19,1125
2018-11-21,1124
2018-11-22,1125
2018-11-23,1124
2018-11-24,841
2018-11-26,841
2018-11-27,869
2018-11-28,800
2018-11-29,800
2018-11-30,800
2018-12-01,800
2018-12-03,800
2018-12-04,921
2018-12-05,921
2018-12-06,902
2018-12-07,902
2018-12-08,843
2018-12-10,843
2018-12-11,820
2018-12-12,848
2018-12-13,848
2018-12-14,848
2018-12-15,748
2018-12-17,748
2018-12-18,748
2018-12-19,765
2018-12-20,767
2018-12-21,767
2018-12-22,753
2018-12-24,700
2018-12-25,700
2018-12-26,662
2018-12-27,662
2018-12-28,662
2018-12-29,662
2018-12-31,672
2019-01-01,700
2019-01-02,728
2019-01-03,662
2019-01-04,662
2019-01-05,662
2019-01-07,655
2019-01-11,642
2019-01-12,620
2019-01-14,637
2019-01-15,637
2019-01-16,637
2019-01-17,637
2019-01-18,637
2019-01-19,767
2019-01-21,0
2019-01-22,611
2019-01-23,611
2019-01-24,0
2019-01-25,0
2019-01-28,0
2019-01-29,611
2019-01-30,0
2019-01-31,611
2019-02-01,665
2019-02-02,665
2019-02-04,585
2019-02-05,585
2019-02-06,585
2019-02-07,585
2019-02-08,585
2019-02-09,585
2019-02-11,655
2019-02-12,655
2019-02-13,655
2019-02-14,655
2019-02-15,655
2019-02-16,655
2019-02-18,655
2019-02-19,655
2019-02-20,655
2019-02-21,655
2019-02-22,655
2019-02-23,655
2019-02-25,655
2019-02-26,655
2019-02-27,655
2019-02-28,655
2019-03-01,655
2019-03-02,655
2019-03-04,655
2019-03-05,665
2019-03-06,665
2019-03-07,665
2019-03-08,665
2019-03-09,665
2019-03-11,710
2019-03-12,710
2019-03-13,710
2019-03-14,775
2019-03-15,775
2019-03-16,775
2019-03-18,665
2019-03-19,665
2019-03-20,665
2019-03-22,640
2019-03-23,640
2019-03-25,640
2019-03-26,640
2019-03-27,640
2019-03-29,640
2019-03-30,640
2019-04-01,640
2019-04-02,640
2019-04-03,640
2019-04-04,640
2019-04-05,640
2019-04-06,640
2019-04-08,640
2019-04-09,640
2019-04-10,640
2019-04-11,640
2019-04-12,640
2019-04-13,640
2019-04-15,685
2019-04-16,685
2019-04-17,685
2019-04-18,725
2019-04-19,725
2019-04-20,725
2019-04-22,725
2019-04-23,725
2019-04-24,725
2019-04-25,725
2019-04-26,725
2019-04-27,815
2019-04-29,815
2019-04-30,815
2019-05-01,815
2019-05-02,815
2019-05-03,815
2019-05-04,815
2019-05-06,815
2019-05-07,815
2019-05-08,815
2019-05-09,815
2019-05-10,815
2019-05-11,815
2019-05-13,815
2019-05-14,775
2019-05-15,833
2019-05-16,833
2019-05-17,833
2019-05-18,833
2019-05-20,833
2019-05-21,813
2019-05-22,813
2019-05-23,813
2019-05-24,813
2019-05-25,813
2019-05-27,813
2019-05-28,813
2019-05-29,813
2019-05-30,813
2019-05-31,861
2019-06-01,861
2019-06-03,861
2019-06-04,861
2019-06-05,861
2019-06-06,861
2019-06-07,861
2019-06-08,861
2019-06-10,861
2019-06-11,929
2019-06-12,1008
2019-06-13,1008
2019-06-14,1008
2019-06-15,1008
2019-06-17,1008
2019-06-18,1008
2019-06-19,1008
2019-06-20,1008
2019-06-21,1008
2019-06-22,1008
2019-06-24,1008
2019-06-25,1008
2019-06-26,1008
2019-06-27,1008
2019-06-28,1008
2019-06-29,1008
2019-07-01,984
2019-07-02,984
2019-07-03,984
2019-07-04,984
2019-07-05,984
2019-07-06,984
2019-07-08,1063
2019-07-09,1063
2019-07-10,1063
2019-07-11,1063
2019-07-12,1063
2019-07-13,1063
2019-07-15,1063
2019-07-16,1063
2019-07-17,1063
2019-07-18,1063
2019-07-20,1063
2019-07-22,1063
2019-07-23,1063
2019-07-24,1059
2019-07-25,1082
2019-07-26,1125
2019-07-29,1155
2019-07-30,1138
2019-07-31,1138
2019-08-01,1193
2019-08-02,1193
2019-08-03,1189
2019-08-05,1211
2019-08-06,1211
2019-08-07,1211
2019-08-08,1211
2019-08-09,1225
2019-08-11,1211
2019-08-12,1211
2019-08-13,1193
2019-08-14,1193
2019-08-16,1411
2019-08-17,1411
2019-08-19,1459
2019-08-20,1459
2019-08-21,1521
2019-08-22,1407
2019-08-23,1700
2019-08-24,1802
2019-08-26,1889
2019-08-27,1889
2019-08-28,1945
2019-08-29,2093
2019-08-30,2075
2019-08-31,2075
2019-09-02,1813
2019-09-03,1917
2019-09-04,1800
2019-09-05,1800
2019-09-06,1927
2019-09-07,2129
2019-09-09,2135
2019-09-10,2173
2019-09-11,2210
2019-09-12,2173
2019-09-13,2164
2019-09-14,2292
2019-09-16,3014
2019-09-17,2988
2019-09-18,3167
2019-09-19,3094
2019-09-20,0
2019-09-21,3663
2019-09-23,3688
2019-09-24,3663
2019-09-25,3525
2019-09-26,3263
2019-09-27,3263
2019-09-28,3307
2019-09-30,3238
2019-10-01,3288
2019-10-03,3063
2019-10-04,2972
2019-10-05,2938
2019-10-07,3143
2019-10-08,3391
2019-10-09,3344
2019-10-10,3297
2019-10-11,3056
2019-10-12,3000
2019-10-14,2964
2019-10-15,2946
2019-10-16,2946
2019-10-17,2859
2019-10-18,2854
2019-10-19,2688
2019-10-21,2813
2019-10-22,2938
2019-10-23,2859
2019-10-24,2875
2019-10-25,2911
2019-10-26,3031
2019-10-29,3156
2019-10-30,3375
2019-10-31,3375
2019-11-01,3607
2019-11-02,3972
2019-11-04,0
2019-11-05,0
2019-11-06,3563
2019-11-07,3513
2019-11-08,3472
2019-11-09,0
2019-11-10,0
2019-11-11,0
2019-11-12,0
2019-11-13,0
2019-11-14,0
2019-11-15,0
2019-11-16,0
2019-11-18,3766
2019-11-19,3766
2019-11-20,0
2019-11-21,0
2019-11-22,0
2019-11-23,0
2019-11-25,0
2019-11-26,0
2019-11-27,0
2019-11-28,0
2019-11-29,0
2019-11-30,0
2019-12-02,0
2019-12-03,0
2019-12-04,0
2019-12-05,0
2019-12-06,0
2019-12-07,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-03,0
2020-02-07,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-24,0
2020-02-25,1844
2020-02-26,1844
2020-02-27,1844
2020-02-28,1844
2020-02-29,1844
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-09,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,1100
2020-04-17,1100
2020-04-18,1016
2020-04-20,975
2020-04-21,975
2020-04-22,944
2020-04-23,944
2020-04-24,925
2020-04-25,938
2020-04-27,881
2020-04-28,894
2020-04-29,894
2020-04-30,894
2020-05-01,831
2020-05-02,831
2020-05-04,816
2020-05-05,875
2020-05-06,881
2020-05-07,919
2020-05-08,897
2020-05-09,869
2020-05-11,567
2020-05-12,719
2020-05-13,719
2020-05-14,719
2020-05-15,679
2020-05-16,679
2020-05-18,692
2020-05-19,708
2020-05-20,692
2020-05-21,767
2020-05-22,717
2020-05-23,683
2020-05-25,650
2020-05-26,663
2020-05-27,675
2020-05-28,663
2020-05-29,600
2020-05-30,600
